Train Number,Train Name,Train Source Stn,Source Dep. Time,Train Destination Stn,Dest. Arr. Time
15108,MTJ CPR EXPRESS ,MATHURA JN     ,23:15,CHHAPRA        ,17:05
15109,BUDH PURNIMA EXP,RAJGIR         ,23:30,VARANASI JN    ,08:40
15110,BUDHPURNIMA EXP ,VARANASI JN    ,20:30,RAJGIR         ,05:05
15111,BCY INTERCITY   ,CHHAPRA        ,03:50,MANDUADIH      ,09:25
15112,CPR INTERCITY   ,MANDUADIH      ,18:10,CHHAPRA        ,23:50
15115,LOK NAYAK EXP   ,CHHAPRA        ,11:15,DELHI          ,11:55
15116,LOK NAYAK EXP   ,DELHI          ,14:00,CHHAPRA        ,13:20
15117,MUV JBP EXPRES  ,MANDUADIH      ,08:25,JABALPUR       ,19:20
15118,JBP MUV EXPRESS ,JABALPUR       ,10:00,MANDUADIH      ,20:45
15119,RMM MUV EXPRESS ,RAMESWARAM     ,23:00,MANDUADIH      ,04:35
15120,MUV RMM EXP     ,MANDUADIH      ,21:00,RAMESWARAM     ,01:15
15159,SARNATH EXPRESS ,CHHAPRA        ,07:15,DURG           ,07:30
15160,SARNATH EXPRESS ,DURG           ,20:25,CHHAPRA        ,21:40
15203,BJU LJN EXP     ,BARAUNI JN     ,20:30,LUCKNOW NE     ,13:00
15204,LJN BJU EXP     ,LUCKNOW NE     ,15:00,BARAUNI JN     ,08:30
15205,CHITRAKUT  EXP  ,LUCKNOW NE     ,17:30,JABALPUR       ,07:10
15206,CHITRAKUT EXP   ,JABALPUR       ,20:40,LUCKNOW NE     ,09:30
15227,MUZAFFARPUR EXP ,YESVANTPUR JN  ,23:55,MUZAFFARPUR JN ,04:00
15228,MFP YPR EXP     ,MUZAFFARPUR JN ,07:25,YESVANTPUR JN  ,11:50
15229,SARNATH EXPRESS ,CHHAPRA        ,07:20,GONDIA JN      ,09:45
15231,BJU GONDIA EXP  ,BARAUNI JN     ,10:00,GONDIA JN      ,18:50
15232,GONDIA BJU EXP  ,GONDIA JN      ,21:00,BARAUNI JN     ,08:00
15233,KOAA DBG EXP    ,KOLKATA        ,10:40,DARBHANGA JN   ,22:35
15234,DBG KOAA EXPRESS,DARBHANGA JN   ,15:50,KOLKATA        ,03:10
15235,HWH DBG EXPRESS ,HOWRAH JN      ,11:05,DARBHANGA JN   ,22:30
15236,DBG HWH EXPRESS ,DARBHANGA JN   ,15:50,HOWRAH JN      ,03:00
15273,SATYAGRAH EXP   ,RAXAUL JN      ,09:05,DELHI          ,09:20
15274,SATYAGRAH EXP   ,DELHI          ,17:15,RAXAUL JN      ,16:45
15279,POORBIYA EXP    ,SAHARSA JN     ,11:00,ADRSH NGR DELHI,14:50
15280,POORABIYA EXP   ,ADRSH NGR DELHI,16:00,SAHARSA JN     ,18:50
15281,KOSHI EXP       ,MURLIGANJ      ,03:25,PATNA JN       ,10:25
15282,KOSHI EXP       ,PATNA JN       ,16:55,MURLIGANJ      ,00:05
15307,NAINITAL EXP    ,IZZATNAGAR     ,22:00,AISHBAGH       ,06:55
15308,NAINITAL EXP    ,AISHBAGH       ,20:25,IZZATNAGAR     ,05:15
15315,GOKUL EXP       ,GONDA JN       ,19:50,IZZATNAGAR     ,07:00
15316,GOKUL EXPRESS   ,IZZATNAGAR     ,20:00,GONDA JN       ,07:55
15469,INTERCITY EXP   ,ALIPUR DUAR JN ,04:00,LUMDING JN     ,14:00
15470,INTERCITY EXP   ,LUMDING JN     ,15:00,ALIPUR DUAR JN ,00:40
15471,INTERCITY EXP   ,ALIPUR DUAR JN ,05:05,KAMAKHYA       ,11:55
15472,INTERCITY EXP   ,KAMAKHYA       ,16:30,ALIPUR DUAR JN ,22:50
15483,MAHANANDA EXP   ,ALIPUR DUAR JN ,09:50,DELHI          ,22:40
15484,MAHANANDA EXP   ,DELHI          ,06:35,ALIPUR DUAR JN ,19:30
15601,PORVOTR S KRNTI ,SILCHAR        ,18:30,NEW DELHI      ,13:00
15602,NDLS SCL PSK EXP,NEW DELHI      ,23:45,SILCHAR        ,19:55
15603,INTER CITY EXP  ,KAMAKHYA       ,19:45,LEDO           ,10:05
15604,INTERCITY  EXP  ,LEDO           ,15:15,KAMAKHYA       ,05:15
15605,JTTN INTERCITY  ,KAMAKHYA       ,19:45,DIBRUGARH      ,11:30
15606,GHY INTERCITY   ,DIBRUGARH      ,14:25,KAMAKHYA       ,05:15
15610,AVADH ASSAM EXP ,LALGARH JN     ,19:45,NEW TINSUKIA JN,15:00
15611,KARMABHOOMI EXP ,LOKMANYATILAK T,11:25,KAMAKHYA       ,19:15
15612,KARMABHOOMI EXP ,KAMAKHYA       ,18:45,LOKMANYATILAK T,23:15
15613,GHY MZS IC EXP  ,GUWAHATI       ,08:55,MURKONGSELEK   ,21:30
15614,MZS GHY IC EXP  ,MURKONGSELEK   ,23:00,GUWAHATI       ,12:30
15615,INTERCITY EXP   ,KAMAKHYA       ,16:00,DEKARGAON      ,21:15
15616,INTERCITY EXP   ,DEKARGAON      ,05:00,KAMAKHYA       ,10:00
15617,GHY NHLN I C EXP,GUWAHATI       ,21:20,NAHARLAGUN     ,05:30
15618,NHLN GHY IC EXP ,NAHARLAGUN     ,21:30,GUWAHATI       ,06:25
15619,GAYA KYQ WKLY EX,GAYA JN        ,13:00,KAMAKHYA       ,12:30
15620,KYQ GYA WKLY EXP,KAMAKHYA       ,07:00,GAYA JN        ,05:35
15621,KYQ ANVT EXPRESS,KAMAKHYA       ,06:10,ANAND VIHAR TRM,17:40
15622,ANVT KYQ EXPRESS,ANAND VIHAR TRM,23:45,KAMAKHYA       ,14:45
15623,BGKT KYQ EXP    ,BHAGAT KI KOTHI,15:25,KAMAKHYA       ,22:55
